ID;Code;Path;Name;Level;Leaf;New with tags;New without tags;Very good;Good;Satisfactory;Not fully functional;Brand;Colour;Author;Title;ISBN;Package size;All shippable;Heavy shipping;Light bulky;Heavy bulky;sql check;id;code;title;sorting_order;color_field_visibility;brand_field_visibility;size_field_visibility;size_group_id;isbn_field_visibility;book_title_field_visibility;author_field_visibility;package_size_group
5457;OS_PENCILS;Home/Office supplies/Writing supplies/Pencils;Pencils;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5458;OS_PENCIL_REFILLS;Home/Office supplies/Writing supplies/Pencil refills;Pencil refills;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5459;OS_HIGHLIGHTERS;Home/Office supplies/Writing supplies/Highlighters;Highlighters;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5460;OS_PENCIL_SHARPENERS;Home/Office supplies/Writing supplies/Pencil sharpeners;Pencil sharpeners;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5461;OS_RUBBERS;Home/Office supplies/Writing supplies/Rubbers;Rubbers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5437;OS_TECHNICAL_DRAWING;Home/Office supplies/Technical drawing tools;Technical drawing tools;3;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;-;;;;;;;;;;;;;;;;;
5462;OS_RULERS;Home/Office supplies/Technical drawing tools/Rulers;Rulers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5463;OS_DRAFTING_COMPASSES;Home/Office supplies/Technical drawing tools/Drafting compasses;Drafting compasses;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5464;OS_PROTRACTORS;Home/Office supplies/Technical drawing tools/Protractors;Protractors;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5465;OS_TEMPLATES;Home/Office supplies/Technical drawing tools/Templates;Templates;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
